System,Ïƒc,Peak_Ratio,Autocorr_Time,Spectral_Entropy,Variance_Ratio,Info_Loss,Sensitivity,System_Type
Sine,0.019195526800688704,2.0,11,0.029164795623601424,23.747306439930078,0.0007443998770595428,1953.580143403752,Deterministic
Cosine,0.004700190992369308,1.0,9,0.01301331943816701,366.1656270407858,4.0510310501007396e-05,5318.932792430593,Deterministic
Fibonacci,0.0001996287144735509,24.0,3,4.938650526681557,57275.05781742547,2.3430343852881563e-06,626162.425228468,Deterministic
Logistic_Periodic,0.21649449046385885,0.7142857142857143,1,5.166503776498886,3.829689607665481,0.5364187905196985,18.853286493877786,Deterministic
Logistic_Edge,0.10047209180092563,0.9795918367346939,1,4.2505486518640865,19.864509608212305,0.15761539058422291,10.156135350373052,Mixed
Logistic_Chaos,0.06958356274030997,0.975609756097561,1,4.4405163668656105,59.43712342900178,0.0462322878657524,17.52586598178718,Chaotic
White_Noise,0.12877458262652466,1.0,1,5.1477498830461155,104.34076285012168,0.01912822868331021,12.13360562411297,Chaotic
Random_Walk,0.0013557842522072478,1.0,14,2.4590930802095894,4838.2696660950205,2.6614570409422278e-05,709.2120003408002,Mixed
AR1_Weak,0.09251880154400043,0.96875,1,5.1514489773513485,207.8143218584591,0.00851423455009026,33.77691828956303,Mixed
AR1_Strong,0.0010293650995489253,1.0,6,2.972650114308604,148140.7364009097,1.4536099538497993e-06,1799.0233520286906,Mixed
Lorenz_X,0.016050481244377815,2.0,14,1.198226757342962,207.30897385249511,4.239036268405272e-05,3115.1713919801673,Chaotic
Mixed_Signal,0.017005893008769236,1.0,10,1.4359239298955284,614.7982318513031,0.0003987670873293325,44.547837457586404,Mixed
Intermittent,0.0011339218022456538,1.05,1,4.601689187618194,107971.12004197511,2.6348868927494884e-05,2204.7375710114443,Mixed
